provider,file_path,title,subtype,source_type,sensitivity,lifecycle_status,review_cadence,next_review_date,retention_class,retention_delete_date,risk_ids,provider_name,control_id,notes,publish_platform_shared,tags
"convex","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/convex/contract/2026-03-27_convex_dpa.html","Convex - convex dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","convex","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"convex","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/convex/subprocessors/2026-03-27_convex_subprocessors.html","Convex - convex subprocessors","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","convex","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"stripe","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/stripe/contract/2026-03-27_stripe_dpa.html","Stripe - stripe dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","stripe","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"stripe","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/stripe/subprocessors/2026-03-27_stripe_service_providers.html","Stripe - stripe service providers","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","stripe","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"resend","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/resend/contract/2026-03-27_resend_dpa.html","Resend - resend dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","resend","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"resend","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/resend/subprocessors/2026-03-27_resend_subprocessors.html","Resend - resend subprocessors","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","resend","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"openrouter","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/openrouter/contract/2026-03-27_openrouter_terms_with_dpa_reference.html","Openrouter - openrouter terms with dpa reference","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","openrouter","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"openrouter","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/openrouter/transfer/2026-03-27_openrouter_privacy.html","Openrouter - openrouter privacy","transfer_impact","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002|R-003","openrouter","","Transfer/privacy source capture; link SCC/DPF/TIA account evidence if applicable.","true","dsgvo|evidence_vault"
"openai_direct","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/openai_direct/contract/2026-03-27_openai_direct_dpa.html","Openai Direct - openai direct dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","openai direct","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"openai_direct","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/openai_direct/subprocessors/2026-03-27_openai_direct_subprocessors.html","Openai Direct - openai direct subprocessors","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","openai direct","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"openai_direct","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/openai_direct/transfer/2026-03-27_openai_direct_services_agreement.html","Openai Direct - openai direct services agreement","transfer_impact","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002|R-003","openai direct","","Transfer/privacy source capture; link SCC/DPF/TIA account evidence if applicable.","true","dsgvo|evidence_vault"
"twilio","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/twilio/contract/2026-03-27_twilio_dpa.html","Twilio - twilio dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","twilio","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"twilio","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/twilio/security/2026-03-27_twilio_security_overview.html","Twilio - twilio security overview","security_control","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","twilio","","Security/trust source capture; add tenant-scoped attestation if required.","true","dsgvo|evidence_vault"
"twilio","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/twilio/subprocessors/2026-03-27_twilio_subprocessors.html","Twilio - twilio subprocessors","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","twilio","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"mux","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/mux/contract/2026-03-27_mux_dpa_page.html","Mux - mux dpa page","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","mux","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"mux","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/mux/contract/2026-03-27_mux_dpa_pdf.pdf","Mux - mux dpa pdf","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","mux","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"radar","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/radar/contract/2026-03-27_radar_dpa.html","Radar - radar dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","radar","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"radar","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/radar/transfer/2026-03-27_radar_privacy.html","Radar - radar privacy","transfer_impact","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002|R-003","radar","","Transfer/privacy source capture; link SCC/DPF/TIA account evidence if applicable.","true","dsgvo|evidence_vault"
"posthog","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/posthog/contract/2026-03-27_posthog_dpa.html","Posthog - posthog dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","posthog","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"posthog","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/posthog/security/2026-03-27_posthog_trust_center.html","Posthog - posthog trust center","security_control","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","posthog","","Security/trust source capture; add tenant-scoped attestation if required.","true","dsgvo|evidence_vault"
"posthog","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/posthog/subprocessors/2026-03-27_posthog_subprocessors.html","Posthog - posthog subprocessors","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","posthog","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
"vercel_analytics","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/vercel_analytics/contract/2026-03-27_vercel_analytics_dpa.html","Vercel Analytics - vercel analytics dpa","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","vercel analytics","","Public legal source capture; replace/augment with account acceptance proof if available.","true","dsgvo|evidence_vault"
"vercel_analytics","compliance/dsgvo_kanzlei_agent_mvp/provider_dossiers/vercel_analytics/subprocessors/2026-03-27_vercel_analytics_security_center.html","Vercel Analytics - vercel analytics security center","avv_provider","provider_response","confidential","active","annual","2027-03-27","3_years","2029-03-27","R-002","vercel analytics","","Public subprocessor/service-provider source capture.","true","dsgvo|evidence_vault"
